age,age_group,gender,item_purchased,category,purchase_amount_(usd),location,colour,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases
55,Pre-Retirement,Male,Blouse,Clothing,53,Kentucky,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Bi-Weekly
19,Gen Z,Male,Sweater,Clothing,64,Maine,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Bi-Weekly
50,Gen X Late,Male,Jeans,Clothing,73,Massachusetts,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly
21,Gen Z,Male,Sandals,Footwear,90,Rhode Island,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly
45,Gen X Late,Male,Blouse,Clothing,49,Oregon,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually
46,Gen X Late,Male,Sneakers,Footwear,20,Wyoming,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly
63,Pre-Retirement,Male,Shirt,Clothing,85,Montana,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly
27,Millennials,Male,Shorts,Clothing,34,Louisiana,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly
26,Millennials,Male,Coat,Outerwear,97,West Virginia,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually
57,Pre-Retirement,Male,Handbag,Accessories,31,Missouri,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly
53,Gen X Late,Male,Shoes,Footwear,34,Arkansas,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly
30,Millennials,Male,Shorts,Clothing,68,Hawaii,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Bi-Weekly
61,Pre-Retirement,Male,Coat,Outerwear,72,Delaware,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Bi-Weekly
65,Seniors,Male,Dress,Clothing,51,New Hampshire,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly
64,Pre-Retirement,Male,Coat,Outerwear,53,New York,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly
64,Pre-Retirement,Male,Skirt,Clothing,81,Rhode Island,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly
25,Millennials,Male,Sunglasses,Accessories,36,Alabama,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly
53,Gen X Late,Male,Dress,Clothing,38,Mississippi,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly
52,Gen X Late,Male,Sweater,Clothing,48,Montana,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly
66,Seniors,Male,Pants,Clothing,90,Rhode Island,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly
21,Gen Z,Male,Pants,Clothing,51,Louisiana,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months
31,Millennials,Male,Pants,Clothing,62,North Carolina,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly
56,Pre-Retirement,Male,Pants,Clothing,37,California,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually
31,Millennials,Male,Pants,Clothing,88,Oklahoma,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly
18,Gen Z,Male,Jacket,Outerwear,22,Florida,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly
18,Gen Z,Male,Hoodie,Clothing,25,Texas,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually
38,Gen X Early,Male,Jewelry,Accessories,20,Nevada,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually
56,Pre-Retirement,Male,Shorts,Clothing,56,Kentucky,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months
54,Gen X Late,Male,Handbag,Accessories,94,North Carolina,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months
31,Millennials,Male,Dress,Clothing,48,Wyoming,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly
57,Pre-Retirement,Male,Jewelry,Accessories,31,North Carolina,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly
33,Millennials,Male,Dress,Clothing,79,West Virginia,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly
36,Gen X Early,Male,Jacket,Outerwear,67,Kansas,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually
54,Gen X Late,Male,Pants,Clothing,38,Colorado,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
36,Gen X Early,Male,T-shirt,Clothing,91,North Dakota,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly
54,Gen X Late,Male,Blouse,Clothing,33,Massachusetts,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly
35,Gen X Early,Male,T-shirt,Clothing,69,Illinois,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Bi-Weekly
35,Gen X Early,Male,Jeans,Clothing,45,Indiana,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly
29,Millennials,Male,Dress,Clothing,37,Florida,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
70,Seniors,Male,Pants,Clothing,60,Arizona,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly
69,Seniors,Male,Handbag,Accessories,76,Louisiana,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly
67,Seniors,Male,Scarf,Accessories,39,Alaska,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually
20,Gen Z,Male,Coat,Outerwear,100,Tennessee,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually
25,Millennials,Male,Scarf,Accessories,69,Ohio,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Bi-Weekly
39,Gen X Early,Male,Hat,Accessories,53,Kentucky,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
50,Gen X Late,Male,Socks,Clothing,21,Tennessee,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually
57,Pre-Retirement,Male,Shirt,Clothing,43,California,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
55,Pre-Retirement,Male,Jewelry,Accessories,54,Montana,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly
42,Gen X Early,Male,Shirt,Clothing,55,Nevada,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly
68,Seniors,Male,Hoodie,Clothing,30,New Jersey,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly
49,Gen X Late,Male,Blouse,Clothing,28,Maryland,Red,Spring,3.7,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly
59,Pre-Retirement,Male,Skirt,Clothing,59,Vermont,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly
42,Gen X Early,Male,T-shirt,Clothing,20,Alaska,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly
29,Millennials,Male,Skirt,Clothing,24,Mississippi,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly
47,Gen X Late,Male,Coat,Outerwear,94,New Mexico,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly
40,Gen X Early,Male,Jacket,Outerwear,28,South Carolina,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually
41,Gen X Early,Male,Backpack,Accessories,73,Mississippi,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly
21,Gen Z,Male,Coat,Outerwear,64,West Virginia,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Bi-Weekly
69,Seniors,Male,Hoodie,Clothing,54,Missouri,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly
63,Pre-Retirement,Male,Belt,Accessories,79,Louisiana,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly
50,Gen X Late,Male,Sweater,Clothing,37,Idaho,Brown,Summer,4.0,Yes,Express,Yes,Yes,17,Cash,Weekly
55,Pre-Retirement,Male,Scarf,Accessories,68,Texas,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months
30,Millennials,Male,Sneakers,Footwear,21,Mississippi,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Bi-Weekly
33,Millennials,Male,Sunglasses,Accessories,79,Arizona,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly
65,Seniors,Male,Boots,Footwear,83,Alabama,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Bi-Weekly
65,Seniors,Male,Backpack,Accessories,36,New Jersey,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
31,Millennials,Male,Blouse,Clothing,94,Pennsylvania,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months
45,Gen X Late,Male,Coat,Outerwear,33,Connecticut,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly
57,Pre-Retirement,Male,Handbag,Accessories,46,Utah,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months
48,Gen X Late,Male,Belt,Accessories,70,Tennessee,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly
22,Gen Z,Male,Belt,Accessories,29,Alabama,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months
36,Gen X Early,Male,Dress,Clothing,48,Virginia,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually
18,Gen Z,Male,Dress,Clothing,26,Georgia,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months
48,Gen X Late,Male,Pants,Clothing,85,Hawaii,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly
49,Gen X Late,Male,Gloves,Accessories,58,Indiana,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly
64,Pre-Retirement,Male,Scarf,Accessories,85,Utah,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually
50,Gen X Late,Male,Hat,Accessories,43,Delaware,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly
22,Gen Z,Male,Dress,Clothing,53,Delaware,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Bi-Weekly
50,Gen X Late,Male,Skirt,Clothing,91,Nebraska,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Bi-Weekly
38,Gen X Early,Male,Jacket,Outerwear,96,Iowa,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months
19,Gen Z,Male,Sandals,Footwear,72,New York,Blue,Summer,3.3,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months
67,Seniors,Male,Shoes,Footwear,96,Virginia,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months
19,Gen Z,Male,Pants,Clothing,28,Georgia,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months
36,Gen X Early,Male,Dress,Clothing,40,Texas,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly
52,Gen X Late,Male,Coat,Outerwear,32,Arizona,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months
53,Gen X Late,Male,Sunglasses,Accessories,95,New Mexico,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly
24,Gen Z,Male,Hoodie,Clothing,41,Nevada,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly
52,Gen X Late,Male,Shoes,Footwear,53,Ohio,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Bi-Weekly
33,Millennials,Male,T-shirt,Clothing,47,Wyoming,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly
47,Gen X Late,Male,Jacket,Outerwear,83,California,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly
25,Millennials,Male,Hat,Accessories,48,South Carolina,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly
44,Gen X Early,Male,Scarf,Accessories,99,South Carolina,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months
61,Pre-Retirement,Male,Jacket,Outerwear,87,Texas,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months
37,Gen X Early,Male,Sweater,Clothing,62,Florida,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
58,Pre-Retirement,Male,Skirt,Clothing,76,Nevada,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly
37,Gen X Early,Male,Sneakers,Footwear,100,Missouri,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly
32,Millennials,Male,Gloves,Accessories,73,Delaware,Gold,Spring,3.6,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months
21,Gen Z,Male,Shoes,Footwear,92,Virginia,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually
20,Gen Z,Male,Jeans,Clothing,67,New York,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually
26,Millennials,Male,Hoodie,Clothing,40,Missouri,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly
62,Pre-Retirement,Male,Sunglasses,Accessories,98,South Dakota,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Bi-Weekly
27,Millennials,Male,Coat,Outerwear,85,North Dakota,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly
51,Gen X Late,Male,Socks,Clothing,67,Oklahoma,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly
54,Gen X Late,Male,Boots,Footwear,89,West Virginia,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly
55,Pre-Retirement,Male,Sunglasses,Accessories,24,New Hampshire,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly
69,Seniors,Male,Backpack,Accessories,96,New York,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually
64,Pre-Retirement,Male,Jacket,Outerwear,35,Minnesota,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly
28,Millennials,Male,Sneakers,Footwear,67,Maryland,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Bi-Weekly
70,Seniors,Male,Socks,Clothing,79,Montana,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly
58,Pre-Retirement,Male,T-shirt,Clothing,85,Alabama,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Bi-Weekly
56,Pre-Retirement,Male,Backpack,Accessories,26,New York,Black,Summer,4.0,Yes,Standard,Yes,Yes,26,Venmo,Bi-Weekly
26,Millennials,Male,Belt,Accessories,75,Massachusetts,Purple,Summer,5.0,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually
37,Gen X Early,Male,Gloves,Accessories,65,Florida,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly
44,Gen X Early,Male,Hat,Accessories,54,New Jersey,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly
70,Seniors,Male,Coat,Outerwear,95,Massachusetts,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly
53,Gen X Late,Male,Skirt,Clothing,94,Wyoming,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months
55,Pre-Retirement,Male,Shoes,Footwear,86,Virginia,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually
50,Gen X Late,Male,Sandals,Footwear,32,South Dakota,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Bi-Weekly
50,Gen X Late,Male,Sweater,Clothing,45,Kentucky,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly
38,Gen X Early,Male,Coat,Outerwear,76,Wyoming,Orange,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,Annually
64,Pre-Retirement,Male,Hat,Accessories,84,West Virginia,Red,Summer,4.0,Yes,Express,Yes,Yes,32,Bank Transfer,Annually
19,Gen Z,Male,Shorts,Clothing,72,Virginia,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Bi-Weekly
40,Gen X Early,Male,Backpack,Accessories,40,Washington,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Bi-Weekly
57,Pre-Retirement,Male,Sweater,Clothing,89,Louisiana,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly
44,Gen X Early,Male,Sweater,Clothing,86,Nevada,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,Annually
49,Gen X Late,Male,Shorts,Clothing,54,California,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months
43,Gen X Early,Male,Shorts,Clothing,36,Mississippi,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months
24,Gen Z,Male,Sweater,Clothing,89,Mississippi,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly
20,Gen Z,Male,Scarf,Accessories,32,California,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Bi-Weekly
24,Gen Z,Male,Dress,Clothing,67,Pennsylvania,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly
44,Gen X Early,Male,Scarf,Accessories,39,Kentucky,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,Bi-Weekly
28,Millennials,Male,Skirt,Clothing,29,Maine,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
30,Millennials,Male,Backpack,Accessories,58,New Mexico,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42,PayPal,Weekly
52,Gen X Late,Male,Sweater,Clothing,65,Montana,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,25,Venmo,Annually
43,Gen X Early,Male,Hat,Accessories,94,Texas,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,25,Cash,Monthly
43,Gen X Early,Male,Sandals,Footwear,81,Kansas,Purple,Fall,4.1,Yes,Express,Yes,Yes,12,PayPal,Quarterly
39,Gen X Early,Male,Blouse,Clothing,86,South Carolina,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,4,Debit Card,Quarterly
68,Seniors,Male,Sneakers,Footwear,43,Colorado,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,38,PayPal,Weekly
